dealer_busts,player_busts,player_loses,draw,player_wins
15,48,56,6,38
13,52,63,4,33
13,44,51,4,45
17,53,63,3,34
9,45,55,8,37
16,49,60,7,33
11,50,59,5,36
16,48,53,9,38
8,48,59,7,34
16,47,55,5,40
12,47,56,6,38
13,55,66,5,29
17,42,52,11,37
6,50,59,8,33
18,47,54,8,38
10,47,53,6,41
14,44,63,8,29
12,41,52,8,40
6,47,59,3,38
16,40,51,8,41
15,45,55,8,37
10,49,53,10,37
17,41,54,8,38
15,49,59,2,39
17,51,58,6,36
15,46,57,5,38
12,55,63,9,28
17,38,51,12,37
13,50,61,7,32
13,44,61,3,36
9,50,57,9,34
16,47,62,6,32
15,48,57,5,38
17,45,57,6,37
18,36,44,7,49
14,53,61,4,35
16,45,48,11,41
18,47,54,10,36
19,37,42,12,46
16,43,51,7,42
14,48,57,5,38
15,44,52,10,38
12,42,56,10,34
17,44,52,11,37
12,43,53,5,42
16,44,54,6,40
9,51,59,5,36
12,44,55,8,37
12,45,53,9,38
10,53,65,8,27
13,41,56,8,36
10,54,64,9,27
20,41,51,6,43
14,44,55,8,37
17,38,51,10,39
12,54,64,7,29
12,45,60,13,27
15,44,58,9,33
10,43,55,3,42
12,45,50,8,42
15,42,52,5,43
15,47,54,5,41
13,48,55,2,43
12,38,52,9,39
18,39,50,6,44
10,51,59,9,32
14,48,54,7,39
27,39,46,7,47
13,46,56,7,37
14,49,57,8,35
11,50,54,9,37
14,53,64,5,31
13,47,54,6,40
12,52,56,8,36
7,52,61,5,34
13,45,56,10,34
12,43,55,9,36
16,45,54,7,39
12,44,55,5,40
14,52,60,4,36
14,54,60,7,33
13,44,52,8,40
12,46,55,9,36
12,54,64,9,27
11,47,55,8,37
14,50,58,7,35
11,50,61,6,33
17,42,57,10,33
14,43,53,8,39
12,49,61,8,31
11,51,62,7,31
11,54,63,7,30
11,48,60,7,33
12,50,63,5,32
11,55,65,5,30
12,45,54,9,37
11,47,54,9,37
8,58,68,5,27
7,49,58,10,32
14,46,51,9,40
14,52,62,8,30
14,48,58,9,33
15,46,58,7,35
16,49,60,2,38
14,50,58,4,38
12,47,59,5,36
12,49,58,6,36
12,35,52,5,43
18,47,55,7,38
11,50,60,7,33
10,53,59,8,33
14,49,60,6,34
14,53,60,10,30
16,39,52,8,40
17,46,53,7,40
15,41,51,9,40
21,45,58,6,36
16,43,48,4,48
10,54,59,9,32
14,47,58,10,32
14,45,51,5,44
15,42,48,11,41
