num_decks,dealer_open,dealer_initial,dealer_hit,dealer_num_hits,dealer_final,dealer_busts,player_inital,player_hit,player_num_hits,player_final,player_busts,player_loses,draw,player_wins,strategy,dealer_hand,player_hand
4,8,13,0,0,13,0,15,1,1,25,1,1,0,0,0,"[8, 5]","[5, 'Q', 'J']"
4,3,10,1,2,24,1,13,1,1,21,0,0,0,1,0,"[3, 7, 4, 10]","[7, 6, 8]"
4,1,16,0,0,16,0,14,1,1,24,1,1,0,0,0,"['A', 5]","[4, 'Q', 'K']"
4,10,19,0,0,19,0,19,0,0,19,0,0,1,0,0,"['K', 9]","[9, 'K']"
4,9,12,1,1,21,0,15,1,1,20,0,1,0,0,0,"[9, 3, 9]","[5, 10, 5]"
4,6,16,0,0,16,0,9,1,2,25,1,1,0,0,0,"[6, 10]","[2, 7, 8, 8]"
4,3,5,0,0,5,0,12,1,1,22,1,1,0,0,0,"[3, 2]","[2, 10, 10]"
4,10,20,0,0,20,0,13,1,2,21,0,0,0,1,0,"[10, 'J']","['A', 2, 9, 9]"
4,1,18,0,0,18,0,7,1,2,23,1,1,0,0,0,"['A', 7]","[4, 3, 6, 'Q']"
4,10,19,0,0,19,0,7,1,2,20,0,0,0,1,0,"[10, 9]","[4, 3, 5, 8]"
4,10,20,0,0,20,0,20,0,0,20,0,0,1,0,0,"['Q', 'Q']","['Q', 'K']"
4,4,14,1,1,24,1,15,1,1,21,0,0,0,1,0,"[4, 10, 'Q']","['K', 5, 6]"
4,1,15,1,2,18,0,12,1,1,19,0,0,0,1,0,"['A', 4, 9, 4]","[5, 7, 7]"
4,4,7,0,0,7,0,16,1,1,26,1,1,0,0,0,"[4, 3]","[6, 'Q', 'Q']"
4,10,12,1,1,20,0,15,1,1,21,0,0,0,1,0,"['Q', 2, 8]","[5, 'Q', 6]"
4,6,17,0,0,17,0,14,1,2,25,1,1,0,0,0,"[6, 'A']","['Q', 4, 'A', 10]"
4,3,13,1,1,23,1,19,0,0,19,0,0,0,1,0,"[3, 'J', 'Q']","['Q', 9]"
4,7,17,0,0,17,0,11,1,2,21,0,0,0,1,0,"[7, 'J']","[7, 4, 7, 3]"
