dealer_busts,player_busts,player_loses,draw,player_wins
21,15,52,6,42
30,12,54,6,40
24,11,46,8,46
17,10,51,13,36
17,10,52,6,42
16,17,55,12,33
19,11,49,8,43
21,15,58,7,35
23,8,49,5,46
22,5,52,12,36
27,12,40,11,49
20,10,55,10,35
26,12,51,9,40
23,19,57,4,39
22,9,56,7,37
19,14,43,13,44
27,6,46,15,39
22,21,54,5,41
16,11,56,13,31
24,13,42,11,47
24,10,53,8,39
22,16,52,12,36
18,18,66,3,31
24,13,56,8,36
32,13,46,5,49
20,9,52,5,43
19,7,47,12,41
26,11,48,8,44
19,8,49,12,39
25,11,47,6,47
31,9,49,7,44
25,9,46,10,44
24,14,56,1,43
19,15,48,8,44
16,11,59,6,35
29,8,44,10,46
19,14,52,8,40
22,10,51,9,40
23,10,46,8,46
22,8,52,14,34
19,13,51,11,38
16,10,59,5,36
28,14,48,7,45
17,14,57,8,35
29,10,50,9,41
11,12,60,7,33
32,9,41,11,48
25,8,52,8,40
14,13,51,8,41
26,12,57,4,39
19,11,55,6,39
21,15,51,6,43
19,16,58,9,33
23,15,50,7,43
23,13,52,6,42
23,11,53,7,40
22,9,54,9,37
26,12,46,11,43
19,10,50,6,44
27,11,53,9,38
29,9,46,7,47
27,7,50,7,43
25,7,49,6,45
30,9,41,9,50
17,16,59,9,32
19,22,61,1,38
20,11,55,6,39
22,6,51,4,45
25,10,52,9,39
24,13,52,10,38
28,7,42,9,49
20,10,54,8,38
21,11,47,8,45
25,8,52,10,38
34,15,49,6,45
22,14,51,5,44
27,8,47,9,44
17,8,50,11,39
22,11,47,10,43
26,8,48,5,47
22,13,50,8,42
30,11,43,13,44
27,14,58,3,39
29,15,49,8,43
22,17,52,5,43
25,14,52,5,43
26,15,46,11,43
30,7,43,11,46
23,13,62,2,36
18,14,51,12,37
18,16,58,5,37
24,16,50,6,44
35,12,42,5,53
21,18,55,9,36
24,12,50,8,42
28,16,55,8,37
16,6,60,5,35
17,13,57,7,36
25,13,51,9,40
18,16,58,8,34
25,12,54,4,42
32,12,43,7,50
16,9,56,14,30
24,16,57,7,36
27,8,49,6,45
21,13,56,10,34
27,11,48,8,44
19,13,55,8,37
26,18,57,6,37
20,12,57,10,33
16,18,54,2,44
19,6,57,3,40
24,9,51,7,42
25,15,53,6,41
15,9,47,9,44
29,15,49,3,48
14,13,50,11,39
21,9,53,5,42
18,14,58,10,32
23,18,53,4,43
20,11,49,8,43
24,12,46,11,43
19,8,52,3,45
24,11,53,11,36
29,8,44,9,47
28,8,44,6,50
31,16,45,10,45
25,11,50,10,40
19,14,59,7,34
26,12,50,10,40
33,6,49,7,44
19,14,55,9,36
22,18,58,5,37
15,19,67,3,30
21,13,50,11,39
28,11,46,9,45
18,12,48,10,42
25,17,58,5,37
20,13,52,11,37
24,17,58,5,37
23,14,53,8,39
26,8,45,9,46
27,8,46,12,42
18,12,53,10,37
30,13,46,12,42
25,13,55,0,45
21,11,54,9,37
26,12,50,7,43
35,9,41,7,52
34,7,35,12,53
21,8,51,8,41
18,9,59,7,34
29,13,48,6,46
24,14,55,7,38
23,11,57,8,35
16,10,56,13,31
22,10,47,8,45
19,8,60,5,35
19,14,55,10,35
18,7,49,11,40
27,11,53,8,39
21,10,57,9,34
25,10,47,8,45
26,15,52,6,42
15,17,64,8,28
25,7,50,5,45
25,15,57,5,38
23,16,53,7,40
19,10,58,9,33
21,19,55,6,39
28,12,44,10,46
20,8,55,5,40
18,12,53,11,36
26,13,56,6,38
26,9,47,6,47
28,14,51,4,45
22,12,53,7,40
24,13,49,9,42
23,15,55,5,40
19,12,51,8,41
19,11,51,9,40
26,13,45,7,48
23,12,59,6,35
26,10,47,10,43
31,5,46,4,50
25,15,51,9,40
19,17,58,8,34
23,11,48,11,41
24,17,53,8,39
23,8,46,10,44
24,12,52,10,38
19,12,56,7,37
28,14,46,8,46
23,12,51,6,43
28,14,52,11,37
27,6,45,12,43
14,14,56,14,30
25,12,50,7,43
17,14,57,5,38
20,9,50,8,42
27,12,51,5,44
25,10,54,9,37
34,11,43,7,50
22,15,54,6,40
17,13,55,11,34
26,17,49,7,44
21,13,51,8,41
21,12,56,8,36
26,21,58,7,35
21,19,51,17,32
25,10,52,6,42
18,6,51,11,38
26,12,46,6,48
19,14,57,4,39
24,11,50,10,40
20,12,53,6,41
33,8,35,8,57
21,12,52,9,39
15,14,54,13,33
18,9,59,5,36
31,16,49,6,45
19,13,57,11,32
19,15,54,6,40
22,11,53,7,40
24,9,47,9,44
21,13,53,12,35
22,12,49,10,41
15,11,60,9,31
16,13,55,9,36
22,6,56,10,34
24,13,48,9,43
21,9,46,14,40
28,7,45,9,46
22,8,49,9,42
25,8,42,9,49
28,10,45,7,48
20,12,56,9,35
27,9,41,11,48
30,11,49,7,44
31,7,45,8,47
22,12,57,8,35
24,12,54,8,38
17,15,56,6,38
27,8,48,6,46
20,13,53,10,37
22,17,54,6,40
20,13,53,2,45
29,9,45,8,47
26,11,52,6,42
16,10,54,6,40
23,15,46,10,44
17,18,63,3,34
16,16,61,6,33
26,15,60,5,35
29,16,52,7,41
28,12,42,9,49
28,15,52,4,44
23,12,52,10,38
24,14,53,5,42
25,18,60,3,37
25,12,51,7,42
20,6,58,9,33
32,15,47,7,46
32,6,46,7,47
20,14,55,4,41
25,8,48,10,42
28,15,50,7,43
23,11,51,9,40
19,15,57,9,34
28,13,47,10,43
22,14,53,8,39
26,10,43,12,45
26,13,56,2,42
21,12,55,8,37
19,14,62,8,30
11,14,66,8,26
16,12,49,12,39
15,12,55,14,31
25,15,55,6,39
24,9,52,7,41
23,15,52,12,36
20,10,50,11,39
20,11,58,8,34
23,9,56,9,35
26,9,42,8,50
21,16,59,2,39
26,10,50,9,41
29,17,46,8,46
21,13,50,10,40
26,8,50,9,41
21,11,49,12,39
21,12,50,10,40
17,15,52,8,40
22,16,50,10,40
19,13,48,9,43
20,16,53,9,38
17,7,48,9,43
27,10,52,8,40
13,19,60,6,34
23,10,48,4,48
28,13,42,10,48
22,11,62,3,35
17,18,61,6,33
24,9,51,6,43
30,14,53,5,42
25,13,53,6,41
25,13,57,5,38
24,11,48,10,42
14,14,62,3,35
25,10,54,8,38
34,9,39,9,52
28,11,44,9,47
26,8,44,10,46
23,10,47,9,44
23,10,47,7,46
31,8,38,8,54
19,19,51,16,33
18,10,53,9,38
25,12,50,7,43
24,12,47,6,47
14,12,64,4,32
26,12,46,5,49
22,14,54,8,38
26,12,49,8,43
25,9,49,6,45
26,12,46,9,45
21,13,54,8,38
26,21,60,8,32
14,14,59,13,28
27,11,51,7,42
31,14,50,8,42
20,18,56,9,35
25,15,53,6,41
19,17,57,7,36
19,19,57,6,37
25,12,51,12,37
30,11,40,5,55
18,12,57,9,34
26,15,52,3,45
27,12,48,9,43
23,14,55,1,44
17,17,56,8,36
26,10,43,8,49
18,10,55,9,36
22,15,53,6,41
17,15,53,7,40
26,10,52,4,44
24,17,48,11,41
23,17,57,9,34
24,16,48,9,43
22,11,52,9,39
29,9,49,6,45
28,12,48,8,44
26,14,54,5,41
20,11,55,6,39
18,8,47,7,46
30,9,45,7,48
24,13,56,6,38
21,9,57,7,36
18,11,50,9,41
21,14,53,7,40
18,13,59,11,30
23,10,45,12,43
23,12,51,9,40
23,10,49,12,39
27,7,49,8,43
22,11,55,5,40
22,11,51,6,43
20,15,55,6,39
31,8,47,7,46
21,8,58,8,34
17,18,64,4,32
19,12,48,5,47
13,6,60,7,33
19,16,54,7,39
25,13,49,5,46
29,10,47,9,44
21,9,55,7,38
23,10,58,3,39
22,21,61,7,32
27,9,52,4,44
19,9,55,5,40
20,13,55,5,40
22,6,46,8,46
30,8,38,6,56
28,10,45,4,51
17,14,55,5,40
18,7,49,11,40
21,13,51,7,42
20,14,55,6,39
26,15,50,8,42
27,9,54,4,42
24,13,51,12,37
26,14,49,9,42
23,14,62,3,35
25,10,45,10,45
25,6,47,11,42
22,15,55,7,38
18,13,54,6,40
25,13,52,8,40
20,17,56,9,35
21,10,56,4,40
23,15,52,6,42
22,6,50,10,40
20,20,57,7,36
18,14,58,7,35
26,16,55,7,38
25,13,50,8,42
25,11,51,10,39
22,13,45,7,48
23,12,55,8,37
23,13,51,8,41
21,13,61,5,34
22,12,48,9,43
30,9,45,6,49
26,14,54,5,41
16,16,57,7,36
21,16,58,11,31
24,13,48,9,43
30,14,46,7,47
25,6,50,9,41
23,13,54,8,38
20,21,54,5,41
16,20,56,14,30
20,16,59,4,37
29,8,47,3,50
23,11,46,9,45
19,12,54,7,39
18,17,64,10,26
24,17,49,8,43
17,9,52,15,33
20,14,52,12,36
17,12,52,7,41
26,14,55,6,39
20,20,57,1,42
26,12,49,9,42
22,11,53,5,42
20,13,61,4,35
26,9,54,3,43
23,12,50,9,41
32,15,54,4,42
23,4,45,10,45
19,8,49,11,40
22,8,57,5,38
14,10,65,10,25
30,9,47,9,44
22,13,53,6,41
16,17,63,4,33
25,11,50,10,40
30,9,42,10,48
25,11,46,6,48
22,18,55,6,39
21,13,56,5,39
28,8,49,3,48
27,13,51,6,43
17,11,53,12,35
25,11,50,8,42
25,12,44,16,40
22,12,54,8,38
22,13,48,10,42
23,12,51,9,40
22,13,58,4,38
17,15,56,14,30
16,12,63,6,31
26,13,55,4,41
24,14,53,6,41
20,11,47,8,45
18,14,64,8,28
21,14,51,11,38
22,9,58,7,35
22,14,50,4,46
17,15,53,13,34
18,10,53,10,37
20,16,54,6,40
18,20,57,6,37
23,18,57,8,35
21,18,60,6,34
25,8,47,5,48
23,11,57,4,39
21,12,57,6,37
24,13,52,3,45
16,13,61,11,28
20,11,53,9,38
27,15,52,6,42
23,10,42,9,49
24,17,59,6,35
22,11,55,7,38
19,10,51,8,41
25,11,49,8,43
29,16,47,6,47
23,11,47,11,42
28,16,50,10,40
32,8,48,8,44
23,8,53,7,40
26,8,55,10,35
25,11,58,7,35
22,16,48,5,47
31,5,51,4,45
19,11,46,9,45
19,14,53,6,41
22,8,53,7,40
17,11,59,5,36
27,8,50,7,43
16,11,60,3,37
20,12,58,9,33
35,7,48,3,49
32,11,44,12,44
24,19,53,6,41
23,15,48,7,45
21,16,52,12,36
23,13,55,6,39
15,10,48,12,40
23,12,55,4,41
24,14,52,7,41
23,9,50,14,36
22,13,50,7,43
23,19,50,10,40
22,10,51,5,44
20,19,56,7,37
22,11,49,7,44
14,10,53,12,35
19,13,54,13,33
23,13,50,5,45
26,10,56,3,41
28,10,44,3,53
24,9,42,10,48
24,11,53,10,37
24,12,54,11,35
29,13,49,3,48
20,10,49,7,44
16,10,54,5,41
26,9,45,8,47
20,10,57,10,33
20,7,50,7,43
23,22,54,6,40
35,8,42,7,51
14,11,47,14,39
20,8,48,10,42
26,5,53,6,41
23,12,47,7,46
22,9,46,10,44
20,16,55,6,39
26,15,44,7,49
19,17,52,6,42
25,11,53,6,41
23,10,50,9,41
22,9,54,12,34
18,12,49,12,39
22,12,53,3,44
26,10,51,9,40
18,9,49,10,41
17,10,59,6,35
19,14,63,8,29
30,16,47,8,45
19,16,57,6,37
22,5,62,7,31
18,15,62,8,30
22,14,54,7,39
19,15,53,8,39
20,14,56,9,35
26,17,45,6,49
26,12,50,11,39
24,12,52,12,36
20,11,56,9,35
17,18,64,5,31
19,9,47,13,40
19,8,47,3,50
22,11,54,11,35
18,10,54,8,38
28,7,47,10,43
21,10,52,8,40
21,11,53,7,40
18,8,59,8,33
24,12,57,5,38
27,14,51,6,43
17,13,56,8,36
16,9,60,2,38
19,12,62,6,32
24,9,49,5,46
22,16,57,7,36
24,11,45,7,48
23,10,51,13,36
18,15,51,12,37
26,13,45,9,46
25,8,55,6,39
26,14,49,9,42
23,11,48,4,48
25,10,50,8,42
15,12,49,9,42
17,16,50,14,36
22,9,51,6,43
17,17,56,8,36
34,10,43,10,47
25,17,49,9,42
20,14,51,8,41
23,13,51,9,40
19,15,54,14,32
32,12,44,6,50
22,13,54,6,40
23,13,54,7,39
33,11,45,6,49
28,15,50,9,41
18,11,50,11,39
23,13,52,7,41
21,14,48,13,39
31,14,51,7,42
20,13,52,3,45
27,15,55,5,40
16,16,54,8,38
26,12,49,5,46
16,10,52,8,40
26,10,53,9,38
23,17,54,6,40
21,15,56,6,38
26,12,56,7,37
20,6,49,9,42
19,8,55,12,33
22,15,59,3,38
27,11,49,5,46
17,10,55,13,32
37,6,33,15,52
23,9,53,3,44
27,9,47,7,46
18,19,60,6,34
24,12,54,9,37
25,11,50,6,44
27,7,45,8,47
24,14,61,5,34
16,15,56,10,34
17,11,56,12,32
26,9,49,12,39
23,9,45,12,43
16,8,55,10,35
21,11,46,8,46
30,12,47,8,45
20,11,54,11,35
17,21,58,8,34
21,12,49,6,45
28,9,49,2,49
18,9,50,8,42
25,2,39,9,52
13,18,58,6,36
25,15,52,11,37
17,17,57,13,30
25,13,57,5,38
23,14,54,4,42
25,15,46,12,42
14,13,56,9,35
23,11,50,9,41
28,12,47,7,46
29,11,48,9,43
24,11,45,9,46
21,16,50,7,43
28,11,56,4,40
33,11,38,16,46
29,9,44,7,49
25,16,59,3,38
18,12,58,6,36
26,7,47,9,44
21,15,56,8,36
18,12,55,7,38
23,10,51,8,41
20,12,52,9,39
21,8,52,10,38
20,11,50,7,43
20,18,59,8,33
21,19,50,7,43
28,9,46,10,44
15,16,58,11,31
23,16,62,6,32
28,13,48,9,43
21,8,57,4,39
20,13,57,7,36
15,18,64,4,32
22,19,54,8,38
24,12,47,9,44
20,14,54,9,37
25,10,51,8,41
22,6,54,7,39
25,8,50,7,43
21,9,50,8,42
19,10,56,6,38
27,11,49,7,44
23,13,48,4,48
22,15,63,8,29
30,5,50,7,43
27,7,47,6,47
21,12,56,11,33
25,8,50,8,42
24,19,46,9,45
24,12,44,10,46
31,12,46,5,49
22,12,55,12,33
31,17,46,8,46
20,11,53,10,37
20,13,54,10,36
26,15,51,4,45
22,22,55,6,39
19,7,55,11,34
25,14,48,6,46
20,16,54,8,38
22,11,53,14,33
28,5,50,7,43
23,13,51,6,43
28,9,50,8,42
25,17,47,11,42
26,14,54,6,40
21,12,54,10,36
19,20,52,5,43
19,10,51,14,35
20,13,54,6,40
22,12,54,9,37
20,13,55,5,40
18,17,50,5,45
21,16,63,2,35
21,6,54,8,38
20,17,58,3,39
25,9,50,6,44
23,14,53,6,41
21,9,54,6,40
30,15,51,8,41
18,10,51,12,37
21,17,53,8,39
27,10,43,11,46
26,10,51,7,42
21,12,53,8,39
31,13,41,3,56
31,11,49,6,45
25,16,53,9,38
27,10,45,8,47
28,8,48,9,43
14,17,56,11,33
17,13,64,6,30
26,10,42,10,48
22,11,58,6,36
21,13,57,7,36
25,14,47,9,44
27,9,50,5,45
17,19,61,3,36
24,9,49,6,45
22,8,49,6,45
25,9,55,4,41
26,13,54,6,40
16,15,56,12,32
21,11,60,6,34
21,11,51,5,44
20,13,51,10,39
25,12,54,6,40
16,11,48,10,42
21,14,55,7,38
21,12,51,4,45
13,17,64,2,34
24,13,48,6,46
16,11,57,8,35
19,11,52,12,36
28,8,47,5,48
30,7,48,8,44
31,13,49,4,47
21,16,57,7,36
19,14,54,8,38
25,17,55,5,40
19,11,51,5,44
19,10,57,6,37
27,12,50,4,46
21,18,57,5,38
21,16,58,7,35
21,16,47,9,44
25,13,53,5,42
30,13,45,5,50
22,16,53,10,37
23,10,48,10,42
22,11,51,8,41
23,9,47,8,45
20,11,53,11,36
15,9,52,11,37
16,15,56,5,39
21,6,56,10,34
16,12,53,13,34
21,14,54,7,39
23,13,55,7,38
12,11,64,6,30
10,12,60,10,30
25,16,48,13,39
22,8,49,7,44
21,11,56,7,37
17,10,49,10,41
24,16,54,6,40
33,7,44,6,50
30,11,48,2,50
24,9,50,6,44
22,11,46,11,43
23,8,46,5,49
22,19,55,5,40
21,15,58,6,36
18,13,62,8,30
25,9,53,5,42
26,13,51,10,39
18,14,45,8,47
19,5,52,9,39
25,19,53,5,42
23,11,51,11,38
23,7,44,9,47
16,13,53,4,43
28,7,50,6,44
33,14,45,8,47
22,9,50,6,44
18,16,54,12,34
18,11,52,6,42
24,12,55,9,36
18,11,52,11,37
26,9,50,4,46
20,16,61,4,35
27,13,52,6,42
20,17,58,4,38
21,11,49,8,43
26,13,53,5,42
23,14,54,8,38
14,19,72,4,24
21,7,46,8,46
28,11,44,10,46
22,15,59,7,34
28,9,44,4,52
20,13,51,12,37
20,12,48,9,43
18,13,63,8,29
21,12,54,7,39
25,12,52,9,39
23,10,49,9,42
22,9,51,10,39
20,16,57,7,36
23,12,54,5,41
11,17,58,9,33
26,14,48,6,46
21,8,51,7,42
24,13,55,5,40
18,12,54,6,40
26,13,50,5,45
20,10,57,9,34
23,10,55,6,39
29,14,56,5,39
12,21,63,10,27
24,13,51,7,42
22,16,52,9,39
24,6,53,10,37
23,13,57,9,34
23,12,54,6,40
20,12,54,8,38
19,17,55,12,33
22,13,55,6,39
25,10,54,7,39
34,8,46,9,45
29,13,49,3,48
27,16,48,7,45
25,17,52,6,42
27,7,55,4,41
22,12,53,11,36
14,8,55,6,39
19,13,60,4,36
22,8,47,9,44
22,16,60,5,35
18,10,58,7,35
17,22,62,2,36
24,13,49,12,39
22,12,52,9,39
25,11,52,8,40
16,20,58,11,31
24,18,58,3,39
27,13,50,5,45
25,15,54,10,36
20,16,51,5,44
27,11,48,9,43
25,15,46,9,45
22,17,62,7,31
19,15,54,7,39
27,15,50,9,41
21,17,60,6,34
16,7,54,8,38
25,14,50,8,42
18,19,59,9,32
23,12,48,8,44
22,7,55,5,40
20,12,54,13,33
23,16,56,7,37
22,12,54,7,39
23,16,58,5,37
19,12,58,5,37
10,16,63,9,28
23,8,50,8,42
24,11,48,8,44
33,12,49,4,47
30,9,53,4,43
27,14,50,6,44
