d_hand,d_final_hand,p_hand,p_final_hand,strategy,split,num_decks
"A,Q","A,Q","4,3","4,3,8",0,0,4
"5,4","5,4","10,A","10,A",1,0,4
"7,K","7,K","9,8","9,8,4",0,0,4
"5,K","5,K,9","2,3","2,3,Q",0,0,4
"10,9","10,9","7,5","7,5",1,0,4
"4,8","4,8,7","A,9","A,9",1,0,4
"A,10","A,10","A,2","A,2,2,10,A,4",1,0,4
"A,A","A,A","A,K","A,K",0,0,4
"9,3","9,3,A,9","5,3","5,3,5,7",0,0,4
"5,6","5,6,J","J,4","J,4",0,0,4
"3,A","3,A,J,5","10,9","10,9",1,0,4
"J,8","J,8","10,5","10,5",1,0,4
"K,3","K,3,J","9,K","9,K",0,0,4
"Q,Q","Q,Q","3,5","3,5,2,9",0,0,4
"9,10","9,10","7,9","7,9",1,0,4
"4,K","4,K","8,5","8,5,3,9",1,0,4
"K,3","K,3,8","3,A","3,A",0,0,4
"8,K","8,K","8,4","8,4",0,0,4
"Q,A","Q,A","5,7","5,7",1,0,4
"3,10","3,10","8,6","8,6,K",1,0,4
"7,A","7,A","3,J","3,J",1,0,4
"7,K","7,K","K,7","K,7",1,0,4
"8,Q","8,Q","J,2","J,2",1,0,4
"2,7","2,7,2,5,7","7,6","7,6,8",1,0,4
"6,7","6,7","2,2","2,2,10,J",1,0,4
"K,Q","K,Q","5,J","5,J",0,0,4
"10,3","10,3,Q","J,Q","J,Q",1,0,4
"Q,A","Q,A","9,10","9,10",1,0,4
"A,3","A,3,7","6,7","6,7",0,0,4
"9,9","9,9","K,2","K,2",1,0,4
"2,5","2,5,A","Q,10","Q,10",0,0,4
"K,10","K,10","Q,4","Q,4",1,0,4
"J,7","J,7","K,4","K,4",1,0,4
"A,5","A,5,A,10","9,K","9,K",1,0,4
"A,6","A,6,2","10,9","10,9",1,0,4
"5,4","5,4,10","7,10","7,10,A",0,0,4
"9,9","9,9","9,9","9,9",1,0,4
"3,5","3,5,J","6,A","6,A,3",1,0,4
"J,3","J,3,2,8","7,5","7,5,7",0,0,4
"J,2","J,2,K","4,9","4,9",1,0,4
"K,7","K,7","Q,5","Q,5,6",0,0,4
"2,J","2,J,2,7","K,7","K,7,4",1,0,4
"2,6","2,6,K","9,K","9,K",1,0,4
"6,10","6,10,10","J,9","J,9",0,0,4
"8,6","8,6,8","5,2","5,2,5",1,0,4
"A,8","A,8","6,10","6,10,2",0,0,4
"K,7","K,7","6,10","6,10,7",0,0,4
"Q,4","Q,4","6,Q","6,Q,Q",0,0,4
"2,2","2,2,9,8","8,A","8,A",1,0,4
"Q,A","Q,A","9,2","9,2,10",1,0,4
"8,2","8,2,8","9,2","9,2,2",0,0,4
"10,7","10,7","5,7","5,7",0,0,4
"4,3","4,3,A","4,6","4,6,J",1,0,4
"5,9","5,9","9,6","9,6,8",1,0,4
"9,10","9,10","9,J","9,J",1,0,4
"8,4","8,4,9","3,9","3,9",1,0,4
"4,2","4,2","8,9","8,9,A,J",1,0,4
"3,6","3,6,9","Q,K","Q,K",0,0,4
"3,10","3,10","7,9","7,9,9",1,0,4
"J,7","J,7","5,4","5,4,6",1,0,4
"10,3","10,3,A,3","Q,10","Q,10",0,0,4
"9,4","9,4,10","J,2","J,2",1,0,4
"9,Q","9,Q","8,7","8,7",1,0,4
"3,J","3,J,8","5,A","5,A",0,0,4
"8,2","8,2,9","K,3","K,3,6",0,0,4
"K,9","K,9","4,10","4,10",1,0,4
"A,K","A,K","7,6","7,6,J",1,0,4
"3,A","3,A","7,10","7,10,6",1,0,4
"8,3","8,3","K,6","K,6,6",0,0,4
"4,6","4,6","5,3","5,3,9,9",1,0,4
"5,6","5,6","5,7","5,7,4,6",1,0,4
"K,8","K,8","7,10","7,10,7",0,0,4
"2,8","2,8","Q,5","Q,5,J",0,0,4
"J,7","J,7","Q,J","Q,J",0,0,4
"J,7","J,7","8,Q","8,Q",0,0,4
"5,10","5,10,3","J,9","J,9",1,0,4
"2,J","2,J,2,5","J,Q","J,Q",0,0,4
"8,7","8,7,K","Q,10","Q,10",0,1,4
"8,7","8,7,K","Q,2","Q,2,9",0,1,4
"Q,6","Q,6,7","6,J","6,J",1,0,4
"10,J","10,J","A,6","A,6",1,0,4
"Q,3","Q,3,A,10","K,J","K,J",0,0,4
"4,7","4,7,4,K","K,9","K,9",1,0,4
"5,K","5,K","7,9","7,9,J",1,0,4
"7,9","7,9,6","7,J","7,J",1,0,4
"Q,9","Q,9","Q,7","Q,7",0,0,4
"5,K","5,K,Q","5,K","5,K",0,0,4
"4,9","4,9,J","9,Q","9,Q",1,0,4
"7,9","7,9,4","10,K","10,K",0,1,4
"7,9","7,9,4","10,4","10,4,8",0,1,4
"2,7","2,7,7,6","K,10","K,10",1,0,4
"9,5","9,5,A,10","3,J","3,J,5",0,0,4
"6,5","6,5,10","K,5","K,5",0,0,4
"10,8","10,8","5,2","5,2,7,4",0,0,4
"8,J","8,J","J,3","J,3",0,0,4
"K,3","K,3,K","9,Q","9,Q",0,0,4
"4,K","4,K,3","6,J","6,J",0,1,4
"4,K","4,K,3","6,9","6,9",0,1,4
"A,Q","A,Q","7,10","7,10,4",0,0,4
"5,K","5,K","8,3","8,3,7,10",1,0,4
"6,7","6,7,9","2,9","2,9,10",0,0,4
"Q,A","Q,A","J,7","J,7",1,0,4
"9,Q","9,Q","3,J","3,J",0,0,4
"3,A","3,A,3,6,6","9,K","9,K",1,0,4
"6,Q","6,Q","J,8","J,8,9",0,0,4
"3,4","3,4,5,K","A,4","A,4",0,0,4
"3,6","3,6,5,J","2,3","2,3,3,5,2",0,0,4
"J,10","J,10","10,Q","10,Q",1,0,4
"Q,K","Q,K","K,6","K,6",1,0,4
"6,J","6,J","A,J","A,J",0,0,4
"J,Q","J,Q","6,10","6,10",1,0,4
"5,A","5,A,7,K","J,3","J,3,2",0,0,4
