,d_hand,d_final_hand,p_hand,p_final_hand,strategy,split,num_decks,soft_17,d_open,d_initial,d_final,d_hit,d_bust,p_initial,p_final,p_hit,p_bust,p_win
0,"9,K","9,K","5,4","5,4,7",0,0,4,1,9,19,19,0,0,9,16,1,0,0
1,"Q,2","Q,2,K","4,5","4,5,9",1,0,4,0,10,12,22,1,1,9,18,1,0,1
2,"A,8","A,8","8,5","8,5,J",1,0,4,0,1,19,19,0,0,13,23,1,1,0
3,"9,8","9,8","5,4","5,4,6",1,0,4,0,9,17,17,0,0,9,15,1,0,0
4,"9,A","9,A","J,2","J,2",0,0,4,1,9,20,20,0,0,12,12,0,0,0
5,"5,9","5,9","2,J","2,J,Q",1,0,4,1,5,14,14,0,0,12,22,1,1,0
6,"J,9","J,9","4,3","4,3,6",1,0,4,1,10,19,19,0,0,7,13,1,0,0
7,"9,8","9,8","7,2","7,2,4",1,0,4,0,9,17,17,0,0,9,13,1,0,0
8,"6,9","6,9","4,4","4,4,7,8",1,0,4,0,6,15,15,0,0,8,23,1,1,0
9,"6,Q","6,Q","10,5","10,5,7",0,0,4,0,6,16,16,0,0,15,22,1,1,0
10,"2,7","2,7,A","K,K","K,K",1,0,4,0,2,9,20,1,0,20,20,0,0,0
11,"A,4","A,4,7,8","3,9","3,9,A,7",1,0,4,1,1,15,20,1,0,12,20,1,0,0
12,"A,Q","A,Q","4,8","4,8",0,0,4,1,1,21,21,0,0,12,12,0,0,0
13,"K,J","K,J","J,6","J,6",1,0,4,1,10,20,20,0,0,16,16,0,0,0
14,"8,3","8,3,7","8,4","8,4",1,0,4,1,8,11,18,1,0,12,12,0,0,0
15,"7,6","7,6","3,7","3,7,6,8",0,0,4,0,7,13,13,0,0,10,24,1,1,0
16,"J,7","J,7","J,5","J,5",0,0,4,1,10,17,17,0,0,15,15,0,0,0
17,"3,K","3,K,3,7","Q,9","Q,9",0,0,4,0,3,13,23,1,1,19,19,0,0,1
18,"A,A","A,A","9,3","9,3,A,2,Q",1,0,4,1,1,12,12,0,0,12,25,1,1,0
19,"10,2","10,2,A,7","3,Q","3,Q",1,0,4,1,10,12,20,1,0,13,13,0,0,0
20,"J,2","J,2,9","8,Q","8,Q",1,0,4,1,10,12,21,1,0,18,18,0,0,0
21,"2,4","2,4","7,A","7,A,Q,4",0,0,4,1,2,6,6,0,0,18,22,1,1,0
22,"8,10","8,10","8,2","8,2,6,10",0,0,4,0,8,18,18,0,0,10,26,1,1,0
23,"7,2","7,2,2,8","5,5","5,5,6",1,0,4,0,7,9,19,1,0,10,16,1,0,0
24,"10,J","10,J","2,6","2,6,7",0,0,4,1,10,20,20,0,0,8,15,1,0,0
25,"3,A","3,A","8,6","8,6,9",1,1,4,1,3,14,14,0,0,14,23,1,1,0
26,"3,A","3,A,7","8,5","8,5,7",1,1,4,1,3,14,21,1,0,13,20,1,0,0
27,"2,8","2,8,9","6,4","6,4,2,3",0,0,4,1,2,10,19,1,0,10,15,1,0,0
28,"4,9","4,9,5","6,2","6,2,2,3,6",0,0,4,1,4,13,18,1,0,8,19,1,0,1
29,"5,7","5,7","5,7","5,7,6,K",1,0,4,0,5,12,12,0,0,12,28,1,1,0
30,"10,K","10,K","5,A","5,A",1,0,4,1,10,20,20,0,0,16,16,0,0,0
31,"5,A","5,A,A,7,8","5,6","5,6,Q",1,0,4,1,5,16,22,1,1,11,21,1,0,1
32,"4,Q","4,Q","6,8","6,8,A,8",1,0,4,1,4,14,14,0,0,14,23,1,1,0
33,"2,K","2,K,2,9","A,6","A,6,2",0,0,4,0,2,12,23,1,1,17,19,1,0,1
34,"5,6","5,6,3,2,10","Q,5","Q,5",0,0,4,0,5,11,26,1,1,15,15,0,0,1
35,"10,3","10,3,Q","4,5","4,5,10",1,0,4,0,10,13,23,1,1,9,19,1,0,1
36,"J,Q","J,Q","5,3","5,3,8",0,0,4,1,10,20,20,0,0,8,16,1,0,0
37,"A,7","A,7","Q,J","Q,J",1,0,4,1,1,18,18,0,0,20,20,0,0,1
38,"6,9","6,9","A,4","A,4,8,5,5",1,0,4,1,6,15,15,0,0,15,23,1,1,0
39,"A,3","A,3,A,10,Q","8,5","8,5,3,4",1,0,4,1,1,14,25,1,1,13,20,1,0,1
40,"6,5","6,5,2,K","10,6","10,6",0,0,4,1,6,11,23,1,1,16,16,0,0,1
41,"6,7","6,7","9,6","9,6,Q",1,0,4,1,6,13,13,0,0,15,25,1,1,0
42,"A,4","A,4,J,3","K,6","K,6,3",0,0,4,0,1,15,18,1,0,16,19,1,0,1
43,"6,2","6,2","10,2","10,2,J",1,0,4,0,6,8,8,0,0,12,22,1,1,0
44,"2,K","2,K","J,3","J,3,A,Q",1,0,4,0,2,12,12,0,0,13,24,1,1,0
45,"6,K","6,K,5","5,10","5,10,4",1,0,4,1,6,16,21,1,0,15,19,1,0,0
46,"8,9","8,9","10,6","10,6,Q",0,0,4,0,8,17,17,0,0,16,26,1,1,0
47,"10,K","10,K","7,8","7,8",0,0,4,1,10,20,20,0,0,15,15,0,0,0
48,"3,A","3,A,2,10,7","K,Q","K,Q",1,0,4,1,3,14,23,1,1,20,20,0,0,1
49,"10,5","10,5,A,6","7,10","7,10",0,0,4,1,10,15,22,1,1,17,17,0,0,1
50,"3,10","3,10","10,5","10,5,8",1,0,4,0,3,13,13,0,0,15,23,1,1,0
51,"10,2","10,2,K","A,2","A,2,4,2",0,0,4,0,10,12,22,1,1,13,19,1,0,1
52,"6,6","6,6","8,5","8,5,Q",1,0,4,0,6,12,12,0,0,13,23,1,1,0
53,"4,10","4,10","7,10","7,10,Q",1,0,4,0,4,14,14,0,0,17,27,1,1,0
54,"J,7","J,7","4,A","4,A",0,0,4,1,10,17,17,0,0,15,15,0,0,0
55,"J,4","J,4,7","4,A","4,A",1,0,4,1,10,14,21,1,0,15,15,0,0,0
56,"4,Q","4,Q,6","K,5","K,5",0,0,4,1,4,14,20,1,0,15,15,0,0,0
57,"3,Q","3,Q","K,2","K,2,2,2,K",1,0,4,0,3,13,13,0,0,12,26,1,1,0
58,"8,J","8,J","7,J","7,J,6",0,0,4,0,8,18,18,0,0,17,23,1,1,0
59,"10,6","10,6,5","4,3","4,3,A",1,0,4,1,10,16,21,1,0,7,18,1,0,0
60,"7,3","7,3,8","6,7","6,7",0,0,4,1,7,10,18,1,0,13,13,0,0,0
61,"10,7","10,7","8,2","8,2,9",0,1,4,0,10,17,17,0,0,10,19,1,0,1
62,"10,7","10,7","8,6","8,6",0,1,4,0,10,17,17,0,0,14,14,0,0,0
63,"4,4","4,4","3,10","3,10,K",1,0,4,1,4,8,8,0,0,13,23,1,1,0
64,"7,J","7,J","9,A","9,A",1,0,4,0,7,17,17,0,0,20,20,0,0,1
65,"2,A","2,A,2,7,5","J,5","J,5",0,0,4,0,2,13,17,1,0,15,15,0,0,0
66,"Q,9","Q,9","8,Q","8,Q",1,0,4,1,10,19,19,0,0,18,18,0,0,0
67,"A,4","A,4,9,7","7,J","7,J,4",1,0,4,1,1,15,21,1,0,17,21,1,0,0
68,"4,9","4,9,Q","6,A","6,A,2",1,0,4,1,4,13,23,1,1,17,19,1,0,1
69,"7,2","7,2,7,9","7,A","7,A",1,0,4,1,7,9,25,1,1,18,18,0,0,1
70,"Q,5","Q,5,10","K,5","K,5",1,0,4,0,10,15,25,1,1,15,15,0,0,1
71,"3,3","3,3,Q,Q","A,3","A,3,5",0,0,4,0,3,6,26,1,1,14,19,1,0,1
72,"K,4","K,4,Q","A,2","A,2",1,0,4,0,10,14,24,1,1,13,13,0,0,1
73,"2,5","2,5,5,K","9,6","9,6",0,0,4,0,2,7,22,1,1,15,15,0,0,1
74,"J,9","J,9","5,Q","5,Q",0,0,4,1,10,19,19,0,0,15,15,0,0,0
75,"J,8","J,8","2,Q","2,Q,8",0,0,4,1,10,18,18,0,0,12,20,1,0,1
76,"J,10","J,10","2,J","2,J",0,0,4,1,10,20,20,0,0,12,12,0,0,0
77,"5,4","5,4","5,2","5,2,2,4,J",0,1,4,1,5,9,9,0,0,7,23,1,1,0
78,"5,4","5,4,J","5,K","5,K",0,1,4,1,5,9,19,1,0,15,15,0,0,0
79,"Q,2","Q,2,8","Q,4","Q,4",1,0,4,0,10,12,20,1,0,14,14,0,0,0
80,"Q,6","Q,6","6,9","6,9,K",0,0,4,1,10,16,16,0,0,15,25,1,1,0
81,"4,K","4,K","4,6","4,6,5,J",0,0,4,1,4,14,14,0,0,10,25,1,1,0
82,"2,2","2,2,6,K","6,Q","6,Q",0,0,4,0,2,4,20,1,0,16,16,0,0,0
83,"2,Q","2,Q,Q","3,9","3,9,8",1,0,4,0,2,12,22,1,1,12,20,1,0,1
84,"3,J","3,J,4","J,Q","J,Q",0,0,4,1,3,13,17,1,0,20,20,0,0,1
85,"K,9","K,9","7,9","7,9,3",0,0,4,0,10,19,19,0,0,16,19,1,0,0
86,"Q,7","Q,7","4,9","4,9",0,0,4,1,10,17,17,0,0,13,13,0,0,0
87,"10,10","10,10","8,A","8,A",0,0,4,0,10,20,20,0,0,19,19,0,0,0
88,"6,7","6,7","J,3","J,3,9",1,0,4,0,6,13,13,0,0,13,22,1,1,0
89,"Q,J","Q,J","J,9","J,9",1,0,4,0,10,20,20,0,0,19,19,0,0,0
90,"J,6","J,6,5","5,A","5,A",1,0,4,0,10,16,21,1,0,16,16,0,0,0
91,"6,9","6,9,5","K,5","K,5,A,4",0,0,4,0,6,15,20,1,0,15,20,1,0,0
92,"10,8","10,8","A,10","A,10",1,0,4,0,10,18,18,0,0,21,21,0,0,1
93,"7,A","7,A","10,K","10,K",0,0,4,1,7,18,18,0,0,20,20,0,0,1
94,"7,8","7,8,J","J,3","J,3",1,0,4,0,7,15,25,1,1,13,13,0,0,1
95,"A,9","A,9","2,Q","2,Q,5,A,A",1,0,4,0,1,20,20,0,0,12,19,1,0,0
96,"4,Q","4,Q,9","A,3","A,3,3,J",0,0,4,1,4,14,23,1,1,14,17,1,0,1
97,"4,J","4,J","6,10","6,10,7",1,0,4,0,4,14,14,0,0,16,23,1,1,0
98,"J,5","J,5,A,8","4,6","4,6,A",1,0,4,0,10,15,24,1,1,10,21,1,0,1
99,"6,J","6,J,2","4,6","4,6,4,7",1,0,4,0,6,16,18,1,0,10,21,1,0,1
100,"K,5","K,5,A,7","7,9","7,9",1,0,4,1,10,15,23,1,1,16,16,0,0,1
101,"2,3","2,3,8,7","2,7","2,7,K",0,0,4,1,2,5,20,1,0,9,19,1,0,0
102,"10,5","10,5,4","7,A","7,A",0,0,4,1,10,15,19,1,0,18,18,0,0,0
103,"Q,2","Q,2,8","9,8","9,8",0,0,4,1,10,12,20,1,0,17,17,0,0,0
104,"6,4","6,4,9","3,7","3,7,8,A",1,0,4,1,6,10,19,1,0,10,19,1,0,0
105,"6,K","6,K,A","5,J","5,J,5",1,0,4,1,6,16,17,1,0,15,20,1,0,1
106,"A,7","A,7","Q,10","Q,10",1,0,4,0,1,18,18,0,0,20,20,0,0,1
107,"3,4","3,4","3,Q","3,Q,9",1,0,4,0,3,7,7,0,0,13,22,1,1,0
108,"10,7","10,7","J,7","J,7,7",0,0,4,0,10,17,17,0,0,17,24,1,1,0
109,"3,9","3,9","5,Q","5,Q,8",1,0,4,1,3,12,12,0,0,15,23,1,1,0
110,"Q,6","Q,6,K","A,6","A,6",1,0,4,0,10,16,26,1,1,17,17,0,0,1
111,"K,7","K,7","K,K","K,K",0,0,4,1,10,17,17,0,0,20,20,0,0,1
112,"5,Q","5,Q,4","2,4","2,4,J,3",1,0,4,0,5,15,19,1,0,6,19,1,0,0
113,"A,9","A,9","K,8","K,8,9",1,0,4,0,1,20,20,0,0,18,27,1,1,0
114,"2,A","2,A","7,5","7,5,10",1,0,4,1,2,13,13,0,0,12,22,1,1,0
115,"K,4","K,4,Q","2,4","2,4,6",1,0,4,1,10,14,24,1,1,6,12,1,0,1
116,"J,K","J,K","8,9","8,9",1,0,4,1,10,20,20,0,0,17,17,0,0,0
117,"2,A","2,A","J,8","J,8,6",1,0,4,0,2,13,13,0,0,18,24,1,1,0
118,"J,10","J,10","K,4","K,4",0,0,4,0,10,20,20,0,0,14,14,0,0,0
119,"3,6","3,6","2,K","2,K,J",1,0,4,1,3,9,9,0,0,12,22,1,1,0
120,"10,9","10,9","2,A","2,A",1,0,4,1,10,19,19,0,0,13,13,0,0,0
121,"8,6","8,6,6","A,3","A,3",0,0,4,1,8,14,20,1,0,14,14,0,0,0
122,"2,8","2,8","3,3","3,3,6,Q",1,0,4,0,2,10,10,0,0,6,22,1,1,0
123,"9,5","9,5,8","J,10","J,10",1,0,4,0,9,14,22,1,1,20,20,0,0,1
124,"3,5","3,5","K,8","K,8,Q",1,0,4,0,3,8,8,0,0,18,28,1,1,0
125,"A,Q","A,Q","Q,8","Q,8",1,0,4,1,1,21,21,0,0,18,18,0,0,0
126,"K,4","K,4,4","2,K","2,K,A",0,0,4,0,10,14,18,1,0,12,13,1,0,0
127,"10,9","10,9","Q,K","Q,K",1,0,4,0,10,19,19,0,0,20,20,0,0,1
128,"6,7","6,7","5,A","5,A,8,Q",1,0,4,1,6,13,13,0,0,16,24,1,1,0
129,"2,10","2,10,7","5,10","5,10,4",1,0,4,0,2,12,19,1,0,15,19,1,0,0
130,"6,10","6,10,J","A,4","A,4,7,6",0,0,4,1,6,16,26,1,1,15,18,1,0,1
131,"K,3","K,3,K","J,9","J,9",0,0,4,1,10,13,23,1,1,19,19,0,0,1
132,"J,6","J,6,A","J,8","J,8",1,0,4,0,10,16,17,1,0,18,18,0,0,1
133,"4,9","4,9,8","7,A","7,A",0,0,4,1,4,13,21,1,0,18,18,0,0,0
134,"6,5","6,5,2,7","6,Q","6,Q",0,0,4,0,6,11,20,1,0,16,16,0,0,0
135,"4,A","4,A,9,A,3","J,9","J,9",0,0,4,0,4,15,18,1,0,19,19,0,0,1
136,"10,5","10,5,K","K,3","K,3",1,0,4,1,10,15,25,1,1,13,13,0,0,1
137,"10,9","10,9","5,2","5,2,4,7",1,0,4,1,10,19,19,0,0,7,18,1,0,0
138,"3,9","3,9,K","J,5","J,5,6",1,0,4,1,3,12,22,1,1,15,21,1,0,1
139,"9,A","9,A","K,3","K,3",1,0,4,0,9,20,20,0,0,13,13,0,0,0
140,"8,7","8,7,2","A,8","A,8",1,0,4,1,8,15,17,1,0,19,19,0,0,1
141,"3,5","3,5,5,5","6,4","6,4,2",0,0,4,0,3,8,18,1,0,10,12,1,0,0
142,"7,2","7,2","2,9","2,9,6,5",0,0,4,1,7,9,9,0,0,11,22,1,1,0
143,"3,A","3,A,6","2,K","2,K",0,0,4,0,3,14,20,1,0,12,12,0,0,0
144,"8,2","8,2,4,3","7,6","7,6",1,0,4,1,8,10,17,1,0,13,13,0,0,0
145,"10,8","10,8","9,7","9,7",0,0,4,0,10,18,18,0,0,16,16,0,0,0
146,"3,2","3,2,4,J","Q,2","Q,2,9",1,0,4,0,3,5,19,1,0,12,21,1,0,1
147,"J,8","J,8","7,4","7,4,K",1,0,4,1,10,18,18,0,0,11,21,1,0,1
148,"4,10","4,10,K","3,4","3,4,3,7",0,0,4,0,4,14,24,1,1,7,17,1,0,1
149,"K,J","K,J","J,2","J,2",0,0,4,0,10,20,20,0,0,12,12,0,0,0
150,"K,4","K,4,J","6,J","6,J",1,0,4,0,10,14,24,1,1,16,16,0,0,1
151,"8,A","8,A","Q,3","Q,3",1,0,4,0,8,19,19,0,0,13,13,0,0,0
152,"J,4","J,4,5","10,4","10,4",1,0,4,0,10,14,19,1,0,14,14,0,0,0
153,"Q,2","Q,2,9","7,8","7,8",1,0,4,0,10,12,21,1,0,15,15,0,0,0
154,"7,6","7,6,K","8,J","8,J",1,0,4,0,7,13,23,1,1,18,18,0,0,1
155,"6,8","6,8","6,2","6,2,8,10",0,0,4,0,6,14,14,0,0,8,26,1,1,0
156,"9,J","9,J","K,7","K,7",1,0,4,0,9,19,19,0,0,17,17,0,0,0
157,"9,Q","9,Q","3,K","3,K",1,0,4,0,9,19,19,0,0,13,13,0,0,0
158,"9,6","9,6,5","5,8","5,8",1,0,4,0,9,15,20,1,0,13,13,0,0,0
159,"4,6","4,6","J,6","J,6,K",0,0,4,0,4,10,10,0,0,16,26,1,1,0
160,"3,3","3,3,4,10","6,A","6,A,Q,3",0,0,4,0,3,6,20,1,0,17,20,1,0,0
161,"10,9","10,9","A,6","A,6",0,0,4,0,10,19,19,0,0,17,17,0,0,0
162,"Q,4","Q,4,A,Q","6,9","6,9,2",0,0,4,0,10,14,25,1,1,15,17,1,0,1
163,"4,Q","4,Q","Q,8","Q,8,8",1,0,4,0,4,14,14,0,0,18,26,1,1,0
164,"K,3","K,3,4","J,7","J,7",1,0,4,0,10,13,17,1,0,17,17,0,0,0
165,"K,4","K,4,Q","2,10","2,10",0,0,4,0,10,14,24,1,1,12,12,0,0,1
166,"2,4","2,4,K,10","J,J","J,J",1,0,4,0,2,6,26,1,1,20,20,0,0,1
167,"9,J","9,J","8,5","8,5",1,0,4,1,9,19,19,0,0,13,13,0,0,0
168,"Q,Q","Q,Q","7,3","7,3,6",1,0,4,1,10,20,20,0,0,10,16,1,0,0
169,"A,K","A,K","10,K","10,K",0,0,4,1,1,21,21,0,0,20,20,0,0,0
170,"4,Q","4,Q,8","3,2","3,2,4,7,4",0,0,4,0,4,14,22,1,1,5,20,1,0,1
171,"7,4","7,4,Q","7,7","7,7",1,0,4,0,7,11,21,1,0,14,14,0,0,0
172,"K,9","K,9","9,4","9,4,J",0,0,4,0,10,19,19,0,0,13,23,1,1,0
173,"7,10","7,10","2,10","2,10,4",0,0,4,1,7,17,17,0,0,12,16,1,0,0
174,"3,6","3,6,3,7","2,A","2,A,4,2",1,0,4,0,3,9,19,1,0,13,19,1,0,0
175,"K,7","K,7","6,3","6,3,2,4",1,0,4,0,10,17,17,0,0,9,15,1,0,0
176,"Q,A","Q,A","5,8","5,8",1,0,4,1,10,21,21,0,0,13,13,0,0,0
177,"8,2","8,2,10","10,10","10,10",1,0,4,0,8,10,20,1,0,20,20,0,0,0
178,"5,4","5,4","5,J","5,J,K",1,0,4,1,5,9,9,0,0,15,25,1,1,0
179,"5,A","5,A,2","5,9","5,9",0,1,4,0,5,16,18,1,0,14,14,0,0,0
180,"5,A","5,A,2","5,8","5,8",0,1,4,0,5,16,18,1,0,13,13,0,0,0
181,"Q,K","Q,K","4,8","4,8",0,0,4,0,10,20,20,0,0,12,12,0,0,0
182,"8,9","8,9","9,3","9,3",0,0,4,1,8,17,17,0,0,12,12,0,0,0
183,"A,Q","A,Q","9,A","9,A",1,0,4,1,1,21,21,0,0,20,20,0,0,0
184,"6,K","6,K","4,K","4,K,J",0,0,4,1,6,16,16,0,0,14,24,1,1,0
185,"4,8","4,8,4,J","5,4","5,4,8,3",1,0,4,1,4,12,26,1,1,9,20,1,0,1
186,"3,K","3,K,4","7,A","7,A",0,0,4,1,3,13,17,1,0,18,18,0,0,1
187,"3,7","3,7,3,5","K,Q","K,Q",1,0,4,0,3,10,18,1,0,20,20,0,0,1
188,"3,10","3,10,4","J,K","J,K",0,0,4,0,3,13,17,1,0,20,20,0,0,1
189,"5,8","5,8,2,8","8,5","8,5,4",0,0,4,0,5,13,23,1,1,13,17,1,0,1
190,"8,A","8,A","4,3","4,3,8,3,10",0,0,4,0,8,19,19,0,0,7,28,1,1,0
191,"A,A","A,A,10","9,4","9,4,5",0,0,4,0,1,12,22,1,1,13,18,1,0,1
192,"8,Q","8,Q","7,6","7,6",0,0,4,0,8,18,18,0,0,13,13,0,0,0
193,"3,A","3,A","A,5","A,5,A,5",1,0,4,1,3,14,14,0,0,16,22,1,1,0
194,"6,K","6,K","5,J","5,J,9",1,0,4,1,6,16,16,0,0,15,24,1,1,0
195,"10,4","10,4,A,9","J,6","J,6",1,0,4,1,10,14,24,1,1,16,16,0,0,1
196,"J,A","J,A","A,2","A,2",1,0,4,1,10,21,21,0,0,13,13,0,0,0
197,"Q,3","Q,3,8","8,10","8,10",1,0,4,0,10,13,21,1,0,18,18,0,0,0
198,"6,9","6,9,3","Q,6","Q,6",0,0,4,1,6,15,18,1,0,16,16,0,0,0
199,"9,3","9,3,4,A","4,4","4,4,A",1,0,4,1,9,12,17,1,0,8,19,1,0,1
200,"9,4","9,4,Q","A,6","A,6",1,0,4,0,9,13,23,1,1,17,17,0,0,1
201,"3,10","3,10,2,9","10,J","10,J",1,0,4,0,3,13,24,1,1,20,20,0,0,1
202,"7,Q","7,Q","8,8","8,8,10",0,0,4,0,7,17,17,0,0,16,26,1,1,0
203,"8,4","8,4,Q","6,7","6,7",0,0,4,1,8,12,22,1,1,13,13,0,0,1
204,"2,7","2,7,5,5","6,Q","6,Q,3",0,0,4,1,2,9,19,1,0,16,19,1,0,0
205,"7,7","7,7,Q","2,3","2,3,J",1,0,4,1,7,14,24,1,1,5,15,1,0,1
206,"7,8","7,8,6","Q,6","Q,6",0,0,4,1,7,15,21,1,0,16,16,0,0,0
207,"3,J","3,J,4","9,J","9,J",0,0,4,0,3,13,17,1,0,19,19,0,0,1
208,"2,A","2,A","2,7","2,7,8,6",1,0,4,1,2,13,13,0,0,9,23,1,1,0
209,"A,6","A,6","J,2","J,2",0,0,4,0,1,17,17,0,0,12,12,0,0,0
210,"9,5","9,5,6","10,3","10,3",0,0,4,0,9,14,20,1,0,13,13,0,0,0
211,"3,A","3,A,10,A,8","5,3","5,3,10",0,0,4,0,3,14,23,1,1,8,18,1,0,1
212,"10,5","10,5,9","5,K","5,K",1,0,4,0,10,15,24,1,1,15,15,0,0,1
213,"8,2","8,2,8","10,9","10,9",1,0,4,1,8,10,18,1,0,19,19,0,0,1
214,"K,3","K,3,5","Q,5","Q,5",1,0,4,0,10,13,18,1,0,15,15,0,0,0
215,"Q,4","Q,4,3","5,2","5,2,10",1,0,4,0,10,14,17,1,0,7,17,1,0,0
216,"4,7","4,7,6","9,7","9,7",0,0,4,0,4,11,17,1,0,16,16,0,0,0
217,"J,6","J,6,7","6,3","6,3,Q",0,0,4,1,10,16,23,1,1,9,19,1,0,1
218,"A,A","A,A","4,2","4,2,10,Q",1,0,4,0,1,12,12,0,0,6,26,1,1,0
219,"5,7","5,7","8,5","8,5,10",1,0,4,0,5,12,12,0,0,13,23,1,1,0
220,"10,J","10,J","8,3","8,3,K",0,0,4,1,10,20,20,0,0,11,21,1,0,1
221,"3,4","3,4","Q,A","Q,A",1,0,4,1,3,7,7,0,0,21,21,0,0,1
222,"5,Q","5,Q,7","A,4","A,4",0,0,4,1,5,15,22,1,1,15,15,0,0,1
223,"8,10","8,10","K,2","K,2",1,0,4,0,8,18,18,0,0,12,12,0,0,0
224,"6,9","6,9,8","5,7","5,7,A,5,3",1,0,4,1,6,15,23,1,1,12,21,1,0,1
225,"J,2","J,2,K","8,2","8,2,Q",0,0,4,0,10,12,22,1,1,10,20,1,0,1
226,"6,9","6,9,8","10,J","10,J",1,0,4,1,6,15,23,1,1,20,20,0,0,1
227,"K,6","K,6","7,6","7,6,4,K",0,1,4,1,10,16,16,0,0,13,27,1,1,0
228,"K,6","K,6","7,6","7,6,4,J",0,1,4,1,10,16,16,0,0,13,27,1,1,0
229,"4,7","4,7","Q,6","Q,6,K",1,0,4,0,4,11,11,0,0,16,26,1,1,0
230,"8,9","8,9","4,Q","4,Q",0,0,4,1,8,17,17,0,0,14,14,0,0,0
231,"K,8","K,8","4,10","4,10,8",0,0,4,1,10,18,18,0,0,14,22,1,1,0
232,"K,3","K,3,4","8,Q","8,Q",0,0,4,1,10,13,17,1,0,18,18,0,0,1
233,"7,Q","7,Q","2,7","2,7,8",1,0,4,0,7,17,17,0,0,9,17,1,0,0
234,"7,3","7,3,6,A","9,10","9,10",1,0,4,0,7,10,17,1,0,19,19,0,0,1
235,"Q,6","Q,6","Q,5","Q,5,K",0,0,4,0,10,16,16,0,0,15,25,1,1,0
236,"K,3","K,3","9,3","9,3,2,A,2,8",0,0,4,0,10,13,13,0,0,12,25,1,1,0
237,"10,4","10,4,K","K,3","K,3",1,0,4,1,10,14,24,1,1,13,13,0,0,1
238,"Q,6","Q,6,7","10,9","10,9",1,0,4,1,10,16,23,1,1,19,19,0,0,1
239,"5,4","5,4","6,10","6,10,6",1,0,4,1,5,9,9,0,0,16,22,1,1,0
240,"9,Q","9,Q","6,2","6,2,2,6",0,0,4,1,9,19,19,0,0,8,16,1,0,0
241,"6,K","6,K","5,6","5,6,4,Q",1,0,4,1,6,16,16,0,0,11,25,1,1,0
242,"K,K","K,K","9,8","9,8",1,0,4,0,10,20,20,0,0,17,17,0,0,0
243,"A,Q","A,Q","9,9","9,9",1,0,4,0,1,21,21,0,0,18,18,0,0,0
244,"6,2","6,2,4,8","3,4","3,4,2,8,2",1,0,4,0,6,8,20,1,0,7,19,1,0,0
245,"Q,10","Q,10","Q,K","Q,K",1,0,4,0,10,20,20,0,0,20,20,0,0,0
246,"Q,6","Q,6,K","8,4","8,4",1,0,4,1,10,16,26,1,1,12,12,0,0,1
247,"5,3","5,3,4,5","K,9","K,9",1,0,4,1,5,8,17,1,0,19,19,0,0,1
248,"4,A","4,A","J,4","J,4,9",1,0,4,1,4,15,15,0,0,14,23,1,1,0
249,"4,2","4,2,7,4","A,6","A,6,3",0,0,4,0,4,6,17,1,0,17,20,1,0,1
250,"3,5","3,5,2,10","5,7","5,7",0,0,4,0,3,8,20,1,0,12,12,0,0,0
251,"4,7","4,7","8,4","8,4,3,9",0,0,4,0,4,11,11,0,0,12,24,1,1,0
252,"9,J","9,J","5,K","5,K,7",0,0,4,1,9,19,19,0,0,15,22,1,1,0
253,"9,2","9,2,A,A,10","8,A","8,A",1,1,4,1,9,11,23,1,1,19,19,0,0,1
254,"9,2","9,2,A,A,10","8,2","8,2,8",1,1,4,1,9,11,23,1,1,10,18,1,0,1
255,"5,9","5,9,Q","10,9","10,9",1,0,4,1,5,14,24,1,1,19,19,0,0,1
256,"Q,8","Q,8","3,7","3,7,8",1,0,4,1,10,18,18,0,0,10,18,1,0,0
257,"4,6","4,6,9","9,3","9,3",0,0,4,0,4,10,19,1,0,12,12,0,0,0
258,"J,K","J,K","7,2","7,2,7,A,A,J",0,0,4,0,10,20,20,0,0,9,28,1,1,0
259,"8,K","8,K","9,9","9,9",1,0,4,0,8,18,18,0,0,18,18,0,0,0
260,"4,7","4,7,4,10","4,5","4,5,K",0,0,4,1,4,11,25,1,1,9,19,1,0,1
261,"3,10","3,10","J,7","J,7,10",0,0,4,0,3,13,13,0,0,17,27,1,1,0
262,"8,A","8,A","5,8","5,8,Q",0,0,4,0,8,19,19,0,0,13,23,1,1,0
263,"8,3","8,3,8","7,2","7,2,8",1,0,4,0,8,11,19,1,0,9,17,1,0,0
264,"7,Q","7,Q","Q,Q","Q,Q",0,0,4,1,7,17,17,0,0,20,20,0,0,1
265,"4,7","4,7","10,3","10,3,9",1,0,4,1,4,11,11,0,0,13,22,1,1,0
266,"7,K","7,K","10,7","10,7,2",0,0,4,0,7,17,17,0,0,17,19,1,0,1
267,"7,J","7,J","5,10","5,10",1,0,4,1,7,17,17,0,0,15,15,0,0,0
268,"5,6","5,6","9,4","9,4,9",1,0,4,0,5,11,11,0,0,13,22,1,1,0
269,"9,2","9,2,10","2,2","2,2,K,7",0,0,4,1,9,11,21,1,0,4,21,1,0,0
270,"3,2","3,2,7,J","J,10","J,10",1,0,4,0,3,5,22,1,1,20,20,0,0,1
271,"10,K","10,K","K,K","K,K",1,0,4,0,10,20,20,0,0,20,20,0,0,0
272,"8,4","8,4,4,Q","5,9","5,9",1,0,4,1,8,12,26,1,1,14,14,0,0,1
273,"8,5","8,5,5","3,3","3,3,6",1,0,4,1,8,13,18,1,0,6,12,1,0,0
