,d_hand,d_final_hand,p_hand,p_final_hand,strategy,split,num_decks,soft_17,d_open,d_initial,d_final,d_hit,d_bust,p_initial,p_final,p_hit,p_bust,p_win
8717,"8,K","8,K","2,5","2,5,6",1,0,4,0,8,18,18,0,0,7,13,1,0,0
8718,"8,6","8,6,Q","9,3","9,3",1,0,4,0,8,14,24,1,1,12,12,0,0,1
8719,"Q,6","Q,6","5,J","5,J,10",0,0,4,1,10,16,16,0,0,15,25,1,1,0
8720,"8,3","8,3,2,3,5","J,9","J,9",0,0,4,0,8,11,21,1,0,19,19,0,0,0
8721,"A,K","A,K","K,Q","K,Q",1,0,4,0,1,21,21,0,0,20,20,0,0,0
8722,"2,2","2,2,6,4,10","6,7","6,7",0,0,4,0,2,4,24,1,1,13,13,0,0,1
8723,"4,10","4,10,2,5","5,4","5,4,3",0,0,4,0,4,14,21,1,0,9,12,1,0,0
8724,"10,2","10,2,8","6,Q","6,Q",1,0,4,1,10,12,20,1,0,16,16,0,0,0
8725,"J,9","J,9","5,J","5,J",0,0,4,0,10,19,19,0,0,15,15,0,0,0
8726,"3,4","3,4,8,3","3,10","3,10,8",1,0,4,0,3,7,18,1,0,13,21,1,0,1
8727,"Q,4","Q,4,3","4,5","4,5,9",1,0,4,1,10,14,17,1,0,9,18,1,0,1
8728,"8,5","8,5,3,J","2,K","2,K",1,0,4,1,8,13,26,1,1,12,12,0,0,1
8729,"5,J","5,J,2","2,5","2,5,A,3",0,0,4,1,5,15,17,1,0,7,21,1,0,1
8730,"A,5","A,5,9,K","2,8","2,8,J",0,0,4,0,1,16,25,1,1,10,20,1,0,1
8731,"9,2","9,2","A,10","A,10",0,0,4,0,9,11,11,0,0,21,21,0,0,1
8732,"3,3","3,3","3,4","3,4,K,5",0,0,4,0,3,6,6,0,0,7,22,1,1,0
8733,"3,4","3,4","Q,A","Q,A",0,0,4,0,3,7,7,0,0,21,21,0,0,1
8734,"5,K","5,K","2,Q","2,Q,10",0,0,4,1,5,15,15,0,0,12,22,1,1,0
8735,"9,4","9,4,9","6,Q","6,Q",0,0,4,0,9,13,22,1,1,16,16,0,0,1
8736,"10,K","10,K","3,4","3,4,5",1,0,4,1,10,20,20,0,0,7,12,1,0,0
8737,"6,8","6,8,8","5,9","5,9",0,0,4,0,6,14,22,1,1,14,14,0,0,1
